timestamp,vm_id,zone,severity,action,result
2026-03-19T01:42:08Z,edge-node-1,zone1,chaos,latency-simulate,latency=80ms
2026-03-19T01:47:39Z,edge-node-1,zone1,chaos,latency-simulate,latency=500ms
2026-03-19T02:55:18Z,edge-node-1,zone1,chaos,latency-remove,success
2026-03-23T21:03:37Z,edge-node-1,zone1,chaos,latency-simulate,latency=500ms
2026-03-29T23:01:27Z,localhost,zone1,critical,load-redistribute,success
2026-03-29T23:08:20Z,localhost,zone1,critical,load-redistribute,success
2026-03-29T23:08:40Z,edge-node-1,zone1,moderate,edge-tune,success
2026-03-29T23:11:12Z,localhost,zone1,critical,load-redistribute,success
2026-03-29T23:13:32Z,edge-node-3,zone1,emergency,out-scale,success
2026-03-29T23:20:12Z,edge-node-3,zone1,emergency,out-scale,success
2026-03-29T23:23:29Z,edge-node-3,standby,recovery,scale-in,success
2026-03-31T18:17:53Z,edge-node-1,zone1,chaos,latency-simulate,latency=200ms
2026-03-31T18:20:10Z,edge-node-1,zone1,chaos,latency-simulate,latency=300ms
2026-03-31T18:25:37Z,edge-node-1,zone1,chaos,latency-simulate,latency=500ms
2026-04-02T18:16:46Z,localhost,,critical,load-redistribute,success
2026-04-02T18:19:41Z,edge-node-2,zone2,chaos,latency-remove,success
2026-04-02T18:27:14Z,localhost,,critical,load-redistribute,success
2026-04-02T18:34:46Z,localhost,,critical,load-redistribute,success
2026-04-02T18:52:15Z,localhost,,critical,load-redistribute,success
2026-04-02T18:59:51Z,localhost,,critical,load-redistribute,success
2026-04-03T18:44:46Z,localhost,,critical,load-redistribute,success
2026-04-03T19:02:18Z,localhost,,critical,load-redistribute,success
2026-04-03T22:42:10Z,edge-node-3,,emergency,out-scale,success
2026-04-03T22:42:12Z,edge-node-3,,emergency,out-scale,success
2026-04-03T23:47:17Z,edge-node-3,,emergency,out-scale,success
2026-04-03T23:47:31Z,edge-node-3,,emergency,out-scale,success
2026-04-03T23:47:52Z,edge-node-3,,emergency,out-scale,success
2026-04-03T23:46:59Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:03:09Z,localhost,,critical,load-redistribute,success
2026-04-04T00:06:32Z,localhost,,critical,load-redistribute,success
2026-04-04T00:05:23Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:05:57Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:06:54Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:07:23Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:10:41Z,localhost,,critical,load-redistribute,success
2026-04-04T00:07:52Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:11:07Z,localhost,,critical,load-redistribute,success
2026-04-04T00:08:25Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:08:57Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:09:22Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:09:52Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:10:22Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:11:37Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:18:07Z,localhost,,critical,load-redistribute,success
2026-04-04T00:15:22Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:18:38Z,localhost,,critical,load-redistribute,success
2026-04-04T00:15:53Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:16:22Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:16:53Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:17:22Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:17:53Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:18:23Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:19:34Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:09:57Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:12:13Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:22:46Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:24:22Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:29:11Z,localhost,,critical,load-redistribute,success
2026-04-12T19:29:22Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:33:12Z,localhost,,critical,load-redistribute,success
2026-04-12T19:33:18Z,edge-node-3,standby,recovery,scale-in,success
2026-04-12T19:32:07Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:35:06Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:42:57Z,localhost,,critical,load-redistribute,success
2026-04-12T19:40:53Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:44:27Z,localhost,,critical,load-redistribute,success
2026-04-12T19:43:52Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:45:54Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:46:38Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:49:52Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:51:23Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:52:07Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:52:37Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:54:38Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:57:17Z,edge-node-3,standby,recovery,scale-in,success
2026-04-12T19:56:41Z,edge-node-3,,emergency,out-scale,success
2026-04-12T21:25:15Z,edge-node-1,zone1,chaos,latency-simulate,latency=2000ms
2026-04-12T21:27:57Z,localhost,,critical,load-redistribute,success
2026-04-12T22:00:04Z,edge-node-3,zone1,emergency,out-scale,success
2026-04-12T23:05:56Z,edge-node-3,zone1,emergency,out-scale,success
2026-04-12T23:18:47Z,edge-node-3,zone1,emergency,out-scale,success
2026-04-13T13:09:34Z,edge-node-3,zone1,emergency,out-scale,success
2026-04-13T13:22:12Z,edge-node-3,zone1,emergency,out-scale,inactive
not-active
2026-04-13T13:23:15Z,edge-node-3,standby,recovery,scale-in,success
2026-04-13T13:42:04Z,edge-node-3,zone1,emergency,out-scale,inactive
not-active
2026-04-13T13:50:21Z,edge-node-1,zone1,chaos,latency-remove,success
2026-04-13T13:51:24Z,edge-node-2,zone2,chaos,latency-remove,success
2026-04-13T13:54:55Z,edge-node-3,standby,recovery,scale-in,success
2026-04-13T14:00:42Z,edge-node-2,zone2,chaos,latency-remove,success
2026-04-13T14:03:48Z,edge-node-3,zone1,emergency,out-scale,active
2026-04-13T14:59:37Z,edge-node-3,zone1,emergency,out-scale,active
2026-04-13T21:17:50Z,edge-node-3,zone1,emergency,out-scale,active
2026-04-13T21:32:35Z,edge-node-3,standby,recovery,scale-in,success
2026-04-13T21:34:45Z,edge-node-1,zone1,chaos,latency-remove,success
2026-04-13T21:35:40Z,edge-node-2,zone2,chaos,latency-remove,success
2026-04-13T23:30:34Z,edge-node-3,zone1,emergency,out-scale,active
2026-04-30T14:49:44Z,edge-node-3,zone1,emergency,out-scale,activating
not-active
2026-04-30T15:04:14Z,edge-node-3,standby,recovery,scale-in,success
2026-04-30T19:10:21Z,edge-node-3,zone1,emergency,out-scale,active
2026-05-01T01:39:20Z,edge-node-3,standby,recovery,scale-in,success
2026-05-01T02:08:55Z,edge-node-3,standby,recovery,scale-in,success
2026-05-01T02:46:25Z,edge-node-3,zone1,emergency,out-scale,active
2026-05-01T03:09:08Z,edge-node-3,zone2,emergency,out-scale,active
2026-05-05T20:38:17Z,edge-node-2,zone2,chaos,latency-remove,success
2026-05-05T21:09:47Z,edge-node-2,zone2,moderate,edge-tune,success
2026-05-05T21:40:15Z,edge-node-1,zone1,chaos,latency-simulate,latency=100ms
2026-05-05T21:43:01Z,edge-node-1,zone1,chaos,latency-simulate,latency=200ms
2026-05-05T21:48:03Z,edge-node-1,zone1,chaos,latency-simulate,latency=1000ms
2026-05-05T21:52:37Z,localhost,zone1,critical,load-redistribute,success
2026-05-09T02:27:38Z,edge-node-1,zone1,chaos,latency-simulate,latency=80ms
2026-05-09T18:37:09Z,localhost,,critical,load-redistribute,success
2026-05-09T18:37:11Z,localhost,,critical,load-redistribute,success
2026-05-09T18:44:38Z,localhost,,critical,load-redistribute,success
2026-05-09T18:52:09Z,localhost,,critical,load-redistribute,success
2026-05-09T18:59:40Z,localhost,,critical,load-redistribute,success
2026-05-09T18:59:38Z,localhost,,critical,load-redistribute,success
2026-05-09T19:07:07Z,localhost,,critical,load-redistribute,success
2026-05-09T19:12:58Z,localhost,,critical,load-redistribute,success
2026-05-09T19:12:57Z,localhost,,critical,load-redistribute,success
2026-05-09T19:14:38Z,localhost,,critical,load-redistribute,success
2026-05-09T19:34:45Z,localhost,,critical,load-redistribute,success
2026-05-09T19:34:16Z,localhost,,critical,load-redistribute,success
2026-05-09T19:40:41Z,localhost,,critical,load-redistribute,success
2026-05-09T19:41:11Z,localhost,,critical,load-redistribute,success
2026-05-09T19:41:36Z,localhost,,critical,load-redistribute,success
2026-05-09T19:41:37Z,localhost,,critical,load-redistribute,success
2026-05-09T19:48:12Z,localhost,,critical,load-redistribute,success
2026-05-09T19:48:41Z,localhost,,critical,load-redistribute,success
2026-05-09T19:49:10Z,localhost,,critical,load-redistribute,success
2026-05-09T19:49:09Z,localhost,,critical,load-redistribute,success
2026-05-09T19:52:12Z,localhost,,critical,load-redistribute,success
2026-05-09T19:56:08Z,localhost,,critical,load-redistribute,success
2026-05-09T19:56:13Z,localhost,,critical,load-redistribute,success
2026-05-09T19:59:41Z,localhost,,critical,load-redistribute,success
2026-05-09T20:03:37Z,localhost,,critical,load-redistribute,success
2026-05-09T20:03:43Z,localhost,,critical,load-redistribute,success
2026-05-09T20:07:12Z,localhost,,critical,load-redistribute,success
2026-05-09T20:10:39Z,localhost,,critical,load-redistribute,success
2026-05-09T20:10:38Z,localhost,,critical,load-redistribute,success
2026-05-09T20:11:12Z,localhost,,critical,load-redistribute,success
2026-05-09T20:14:11Z,localhost,,critical,load-redistribute,success
2026-05-09T20:18:12Z,localhost,,critical,load-redistribute,success
2026-05-09T20:18:10Z,localhost,,critical,load-redistribute,success
2026-05-09T20:18:42Z,localhost,,critical,load-redistribute,success
2026-05-09T20:21:42Z,localhost,,critical,load-redistribute,success
2026-05-09T20:25:39Z,localhost,,critical,load-redistribute,success
2026-05-09T20:25:38Z,localhost,,critical,load-redistribute,success
2026-05-09T20:26:13Z,localhost,,critical,load-redistribute,success
2026-05-09T20:33:41Z,localhost,,critical,load-redistribute,success
2026-05-09T20:33:43Z,localhost,,critical,load-redistribute,success
2026-05-09T20:33:42Z,localhost,,critical,load-redistribute,success
2026-05-09T20:47:14Z,localhost,,critical,load-redistribute,success
2026-05-09T20:54:27Z,localhost,,critical,load-redistribute,success
2026-05-10T12:08:32Z,edge-node-1,zone1,chaos,latency-simulate,latency=80ms
2026-05-10T12:14:02Z,edge-node-1,zone1,chaos,latency-simulate,latency=100ms
2026-05-10T12:27:46Z,edge-node-1,zone1,chaos,latency-simulate,latency=200ms
2026-05-10T12:32:13Z,edge-node-1,zone1,chaos,latency-simulate,latency=250ms
2026-05-10T13:30:31Z,localhost,zone1,critical,load-redistribute,success
2026-05-10T13:31:04Z,localhost,zone1,critical,load-redistribute,success
2026-05-10T13:32:09Z,localhost,zone2,critical,load-redistribute,success
2026-05-10T13:44:01Z,edge-node-3,standby,recovery,scale-in,success
2026-05-10T14:27:05Z,edge-node-3,standby,recovery,scale-in,success
2026-05-10T17:10:04Z,edge-node-3,standby,recovery,scale-in,success
2026-05-10T18:05:21Z,edge-node-3,standby,recovery,scale-in,success
2026-05-11T01:14:41Z,edge-node-3,standby,recovery,scale-in,success
2026-05-11T02:03:40Z,localhost,zone2,critical,load-redistribute,success
2026-05-11T02:59:57Z,edge-node-2,zone2,moderate,edge-tune,success
2026-05-11T02:59:57Z,edge-node-1,zone1,moderate,edge-tune,success
2026-05-11T05:01:11Z,edge-node-3,standby,recovery,scale-in,success
